Species,lat,lon,Date,Observer(s),Area,Time,Indivs.,Comments
HOSP,36.533842,-87.354013,2/3/2021,AH,SE,10:15,1,
NOMO,36.533355,-87.352686,2/3/2021,AH,SE,10:45,2,FIGHTING
NOMO,36.532356,-87.350355,2/3/2021,AZ,SE,9:35,1,
NOMO,36.533103,-87.349849,2/3/2021,AZ,SE,9:42,1,
HOSP,36.533034,-87.351385,2/3/2021,AZ,SE,9:51,1,
HOSP,36.533091,-87.352392,2/3/2021,AZ,SE,9:58,1,
EUST,36.535268,-87.352361,2/3/2021,AZ,SE,10:12,5,
EUST,36.535098,-87.351345,2/3/2021,AZ,SE,10:18,2,
EUST,36.536907,-87.357652,2/3/2021,DB,NE,9:00,3,SITTING IN A TREE
EUST,36.536886,-87.357321,2/3/2021,DB,NE,9:15,5,SITTING IN A TREE
EUST,36.539559,-87.363478,2/3/2021,DS,NW,9:00,5,BIRD BOX NEAR ROAD
EABL,36.539383,-87.361089,2/3/2021,DS,NW,9:30,1,LARGE TREE BEHIND EMERALD HILL HOUSE
NOMO,36.540037,-87.358124,2/3/2021,DS,NW,10:15,1,CALL ID
EUST,36.539966,-87.362517,2/3/2021,"JA, JK",NW,8:50,5,FORAGING ON GROUND
EABL,36.539754,-87.36212,2/3/2021,"JA, JK",NW,8:52,1,MALE;SINGING
EABL,36.539073,-87.361245,2/3/2021,"JA, JK",NW,9:00,2,PAIR FORAGING
EUST,36.539048,-87.361666,2/3/2021,"JA, JK",NW,9:00,1,
EUST,36.539016,-87.359902,2/3/2021,"JA, JK",NW,9:11,3,
HOSP,36.538242,-87.359582,2/3/2021,"JA, JK",NW,9:15,2,MALE SINGING
NOMO,36.539447,-87.35954,2/3/2021,"JA, JK",NW,9:17,1,
NOMO,36.539385,-87.361063,2/3/2021,"JB,KH,NS",NW,8:10,1,FORAGING ON GROUND
EUST,36.539629,-87.359995,2/3/2021,"JB,KH,NS",NW,8:15,2,
NOMO,36.540091,-87.359482,2/3/2021,"JB,KH,NS",NW,8:20,1,CALLING
NOMO,36.539636,-87.357986,2/3/2021,"JB,KH,NS",NW,8:25,1,
EUST,36.538589,-87.358347,2/3/2021,"JB,KH,NS",NW,8:50,3,
EUST,36.537526,-87.359471,2/3/2021,"JB,KH,NS",NW,9:00,1,
NOMO,36.53701,-87.359601,2/3/2021,"JB,KH,NS",NW,9:05,1,
NOMO,36.53622,-87.359377,2/3/2021,"JB,KH,NS",NW,9:10,1,
NOMO,36.535569,-87.358748,2/3/2021,"JB,KH,NS",NW,9:15,1,SITTING IN BUSH
NOMO,36.53562,-87.358451,2/3/2021,"JB,KH,NS",NW,9:15,1,
EUST,36.536147,-87.35806,2/3/2021,"JB,KH,NS",NW,9:20,4,IN LARGE TREE
EABL,36.540172,-87.36167,2/3/2021,"JB,KH,NS",NW,9:30,3,
NOMO,36.534296,-87.351793,2/3/2021,JE,SE,8:00,1,FIGHTING AMERICAN ROBINS
NOMO,36.540137,-87.361196,2/3/2021,JM,NW,8:25,1,IN HOLLY TREE;DEFENDING FROM OTHER BIRDS
EUST,36.538903,-87.360872,2/3/2021,JM,NW,8:45,2,IN GRASS BESIDE WALKING PATH
NOMO,36.538892,-87.360761,2/3/2021,JM,NW,9:03,1,PERCHED IN TREE
NOMO,36.533392,-87.352385,2/3/2021,SS,SE,10:12,2,1 IN TREETOP; 1 IN VENT 
NOMO,36.532745,-87.352261,2/3/2021,SS,SE,10:20,2,CHATTERING/FIGHTING IN EVERGREEN
EABL,36.532368,-87.351954,2/3/2021,SS,SE,10:28,1,SILENT;CONTINUALLY FLYING FROM LOW PERCH TO GROUND
HOSP,36.534396,-87.350513,2/3/2021,SS,SE,10:44,3,SINGING IN BUSHES
NOMO,36.533375,-87.352424,2/3/2021,"TY,HL,JS",SE,8:40,2,
HOSP,36.533733,-87.35298,2/3/2021,"TY,HL,JS",SE,8:55,2,FEMALE
NOMO,36.533234,-87.35295,2/3/2021,"TY,HL,JS",SE,9:04,2,
NOMO,36.533179,-87.354839,2/3/2021,"TY,HL,JS",SE,9:10,1,JUST FLOWN IN
EABL,36.533081,-87.354901,2/3/2021,"TY,HL,JS",SE,9:44,3,PERCHED ON YELLOW POLE
NOMO,36.532968,-87.354789,2/3/2021,"TY,HL,JS",SE,9:44,1,PERCHED IN OAK
NOMO,36.53258,-87.352093,2/4/2021,AC,SE,10:39,1,
NOMO,36.534379,-87.358226,2/4/2021,JE,SW,8:00,1,
NOMO,36.533335,-87.357537,2/4/2021,JE,SW,8:30,1,
EUST,36.534518,-87.357667,2/4/2021,JE,SW,9:00,4,
EUST,36.533484,-87.36017,2/4/2021,JE,SW,9:10,2,
HOSP,36.533484,-87.36017,2/4/2021,JE,SW,9:30,3,
EUST,36.534701,-87.357093,2/4/2021,JE,SW,10:00,4,
EABL,36.538564,-87.353541,2/5/2021,DS,NE,14:15,1,PERCHED ON ROOF OF 407 NEAR SOCCER FIELD
EUST,36.537518,-87.357513,2/5/2021,DS,NE,14:15,15,IN TREE JUST PAST DUNN CENTER PARKING LOT
NOMO,36.535857,-87.355733,2/5/2021,DS,NE,14:15,1,BUSHES NEAR DUNN CENTER
HOSP,36.536885,-87.353885,2/5/2021,JA,NE,10:40,2,
EUST,36.53539,-87.35144,2/5/2021,JA,NE,10:42,1,
EABL,36.538344,-87.351611,2/5/2021,JA,NE,10:45,2,PAIR FORAGING
HOSP,36.537954,-87.34992,2/5/2021,JA,NE,10:45,5,FLYOVER
NOMO,36.538155,-87.350182,2/5/2021,JA,NE,10:45,1,
EUST,36.538241,-87.351482,2/5/2021,JA,NE,11:02,20,FLOCK FLEW TOWARDS PARKING LOT
NOMO,36.535585,-87.352185,2/5/2021,JA,NE,11:10,1,
NOMO,36.532513,-87.353775,2/7/2021,DB,SE,10:01,1,SITTING IN TREE
EABL,36.532995,-87.353653,2/7/2021,DB,SE,10:25,1,FEMALE FLYING FROM TREE TO TREE
EABL,36.533138,-87.353626,2/7/2021,DB,SE,10:27,3,FEMALES
NOMO,36.532544,-87.352302,2/7/2021,SZ,SE,15:50,1,
NOMO,36.532544,-87.352302,2/7/2021,SZ,SE,15:50,2,
NOMO,36.537759,-87.355494,2/8/2021,JE,NE,11:20,1,ON TOP OF BUILDING
EUST,36.538691,-87.356705,2/8/2021,JE,NE,11:44,12,PERCHED ON BASEBALL FIELD LIGHTS
NOMO,36.537014,-87.356885,2/8/2021,JE,NE,12:03,1,PICKING BERRIES OUT OF TREE BEHIND DUNN CENTER
NOMO,36.538408,-87.362412,2/8/2021,SS,NW,8:11,4,FORAGING ON GROUND
EABL,36.539207,-87.360233,2/8/2021,SS,NW,8:14,1,SOLITARY SINGING IN TREE
HOSP,36.540981,-87.360373,2/8/2021,SS,NW,8:50,5,SINGING IN BUSHES
NOMO,36.53491,-87.354656,2/11/2021,AZ,SE,9:37,1,
NOMO,36.533793,-87.354369,2/11/2021,AZ,SE,9:44,1,
HOSP,36.533425,-87.353251,2/11/2021,AZ,SE,10:02,1,
HOSP,36.532846,-87.353097,2/11/2021,AZ,SE,10:11,1,
EABL,36.532246,-87.353007,2/11/2021,AZ,SE,10:17,1,
NOMO,36.533266,-87.352053,2/11/2021,JS,SE,10:37,2,PERCHED ON BENCH;ALLOWED ME TO GET CLOSE THEN FLEW OFF CHASING ANOTHER
NOMO,36.533986,-87.35049,2/12/2021,DS,SE,11:15,1,PROTECTING BUSH NEAR TRAHERN
NOMO,36.534428,-87.351968,2/12/2021,DS,SE,11:30,1,PERCHED ON HOLLY
EABL,36.534368,-87.352531,2/12/2021,DS,SE,11:45,3,
NOMO,36.532911,-87.352364,2/12/2021,DS,SE,12:00,1,DEFENDING HOLLY ON NE CORNER OF LIBRARY
NOMO,36.532396,-87.35148,2/12/2021,DS,SE,12:30,1,
NOMO,36.535769,-87.354651,2/12/2021,"HL,JS",NE,9:45,3,
NOMO,36.535983,-87.357094,2/12/2021,"HL,JS",NE,10:14,3,
HOSP,36.535084,-87.355056,2/21/2021,JS,NE,11:06,1,MALE
NOMO,36.535048,-87.354714,2/21/2021,JS,NE,11:06,1,
NOMO,36.534961,-87.354867,2/21/2021,JS,NE,11:09,1,SILENT STANDING ON GROUND
HOSP,36.534753,-87.354751,2/21/2021,JS,NE,11:11,2,1 MALE;1 FEMALE
EUST,36.534851,-87.355562,2/21/2021,JS,NE,11:18,12,ALL PERCHED IN TREE
NOMO,36.535726,-87.35467,2/21/2021,JS,NE,12:07,1,FLEW FROM HOLLY BUSH TO TENNIS COURT FENCE
HOSP,36.534787,-87.354443,2/21/2021,JS,NE,12:13,1,FEMALE
NOMO,36.534643,-87.354148,2/21/2021,JS,NE,12:23,1,ANGRILY CALLING TO OTHER NOMO
EUST,36.533508,-87.350432,2/22/2021,AC,SE,9:28,8,
NOMO,36.534444,-87.352025,2/22/2021,AC,SE,9:38,1,
EUST,36.534869,-87.353211,2/22/2021,AC,SE,9:58,1,
NOMO,36.53841,-87.352868,2/22/2021,AC,NE,10:14,1,
NOMO,36.535975,-87.35618,2/22/2021,AC,NE,10:22,1,
EUST,36.534146,-87.356017,2/22/2021,AC,SW,10:27,1,
NOMO,36.533433,-87.351957,2/22/2021,"HL,TY",SE,9:07,1,PERCHED IN OAK TREE
NOMO,36.533019,-87.352896,2/22/2021,"HL,TY",SE,9:19,1,CALLING FROM TREE
NOMO,36.532097,-87.354288,2/22/2021,"HL,TY",SE,10:14,1,FORAGING IN GRASS
EABL,36.535113,-87.352766,2/22/2021,JM,NE,9:30,2,BOTH FLEW CLOSE TOGETHER AS THEY CHANGED TREES
EUST,36.538155,-87.355447,2/22/2021,JM,NE,9:45,5,ON TELEPHONE WIRE
NOMO,36.531624,-87.353731,2/22/2021,SZ,SE,9:10,1,
NOMO,36.531593,-87.354546,2/22/2021,SZ,SE,9:12,1,
NOMO,36.533835,-87.355326,2/22/2021,SZ,SE,9:23,1,
EUST,36.534249,-87.355619,2/22/2021,SZ,SE,9:28,15,10 ON LIGHT PERCHED;4 ON GROUND
EUST,36.534981,-87.355062,2/22/2021,SZ,SE,9:30,1,
NOMO,36.534419,-87.35531,2/22/2021,SZ,SE,9:30,2,FLUSHED OUT A ROBIN
NOMO,36.53424,-87.355317,2/22/2021,SZ,SE,9:33,1,
NOMO,36.534865,-87.354918,2/22/2021,SZ,SE,9:53,6,
NOMO,36.533391,-87.353281,2/22/2021,SZ,SE,10:19,1,
NOMO,36.53651,-87.356093,2/23/2021,DB,NE,9:20,1,ON BIKE RACK
NOMO,36.532476,-87.356725,2/23/2021,DB,SW,14:56,1,FEMALE
NOMO,36.532674,-87.357027,2/23/2021,DB,SW,14:57,1,FEMALE
EUST,36.533932,-87.358078,2/23/2021,DB,SW,15:30,1,FEMALE
EUST,36.532786,-87.358304,2/23/2021,DS,SW,12:45,2,PERCHED IN TREE ABOVE THE REFUGE
HOSP,36.532932,-87.357913,2/23/2021,DS,SW,12:50,1,
NOMO,36.533334,-87.358912,2/23/2021,DS,SW,12:55,4,
HOSP,36.5336,-87.358774,2/23/2021,DS,SW,13:10,1,
NOMO,36.534258,-87.358576,2/23/2021,DS,SW,13:35,2,ATTACKING HAWK
EUST,36.533403,-87.357825,2/23/2021,DS,SW,13:40,5,SE CORNER OF CASTLE HEIGHTS
EUST,36.538072,-87.35535,2/24/2021,AH,NE,11:30,20,ON POWER LINE AND TREE BESIDE IT
NOMO,36.539768,-87.361661,2/24/2021,DB,NW,12:08,1,FEMALE SITTING ON TREE
EUST,36.537324,-87.350122,2/24/2021,"JB,NS",NE,9:01,6,FLYOVER OUT OF ZONE
EUST,36.537941,-87.3505,2/24/2021,"JB,NS",NE,9:03,3,
HOSP,36.538092,-87.351152,2/24/2021,"JB,NS",NE,9:05,1,
HOSP,36.537287,-87.3511,2/24/2021,"JB,NS",NE,9:07,4,2 IN TREE;2 ON GROUND
EUST,36.537657,-87.352167,2/24/2021,"JB,NS",NE,9:08,83,
NOMO,36.537938,-87.352174,2/24/2021,"JB,NS",NE,9:08,1,
NOMO,36.537373,-87.352507,2/24/2021,"JB,NS",NE,9:10,2,
EUST,36.537568,-87.352795,2/24/2021,"JB,NS",NE,9:12,5,
HOSP,36.537835,-87.352745,2/24/2021,"JB,NS",NE,9:13,2,
HOSP,36.53722,-87.352875,2/24/2021,"JB,NS",NE,9:14,3,
EUST,36.537792,-87.353303,2/24/2021,"JB,NS",NE,9:18,1,
EUST,36.538392,-87.353205,2/24/2021,"JB,NS",NE,9:20,11,FLYOVER
HOSP,36.536619,-87.356377,2/24/2021,"JB,NS",NE,9:36,1,
HOSP,36.536503,-87.355956,2/24/2021,"JB,NS",NE,9:39,1,
NOMO,36.536295,-87.355664,2/24/2021,"JB,NS",NE,9:41,1,
EUST,36.536083,-87.351817,2/24/2021,"JB,NS",NE,9:56,2,
NOMO,36.535467,-87.359669,2/24/2021,JS,NW,9:10,1,PERCHING ON TREE
NOMO,36.535459,-87.359042,2/24/2021,JS,NW,9:45,1,FLYOVER;SILENT
NOMO,36.53573,-87.359461,2/24/2021,JS,NW,10:13,1,GROOMING ITSELF
HOSP,36.537485,-87.359477,2/24/2021,JS,NW,10:32,15,GROUP CHATTERING INTENSELY
HOSP,36.533971,-87.354384,2/24/2021,"SE,AH",SE,11:13,1,
NOMO,36.532554,-87.353149,2/24/2021,"SE,AH",SE,12:05,1,EATING BERRIES FROM HOLLY BUSH
NOMO,36.532999,-87.352844,2/24/2021,"SE,AH",SE,12:14,1,
NOMO,36.533094,-87.350324,2/24/2021,"SE,AH",SE,12:20,1,SITTING ON POWERLINE
NOMO,36.533195,-87.350289,2/24/2021,SS,SE,8:03,4,CHASING EACH OTHER
EUST,36.533234,-87.353163,2/24/2021,SS,SE,8:07,2,
NOMO,36.533179,-87.355417,2/24/2021,SS,SE,8:21,2,ALARM CALLING
EUST,36.534018,-87.35758,2/24/2021,SS,SW,8:32,1,"TOP STOP LIGHT POST, SILENT"
EABL,36.533339,-87.357587,2/24/2021,SS,SW,8:33,1,PERCHED ON SMALL BARE TREE; SILENT
NOMO,36.534105,-87.352451,2/24/2021,SS,SE,9:14,1,
EUST,36.534875,-87.35051,2/24/2021,SS,SE,9:19,2,
HOSP,36.534987,-87.350512,2/24/2021,SS,SE,9:19,6,
NOMO,36.53708333,-87.35194,2/27/2021,DB,NE,12:51,1,
NOMO,36.53644444,-87.3575,2/27/2021,DB,NE,13:37,1,IN BUSH THICKET HOPPING SHRUBS
NOMO,36.53644444,-87.35583,2/27/2021,DB,NE,13:42,1,
NOMO,36.532081,-87.357589,3/2/2021,"JB,NS",SW,12:44,1,SILENT PERCHED IN SHORT TREE
NOMO,36.532948,-87.360267,3/2/2021,"JB,NS",SW,12:51,1,HOPPING AMONG DEAD BRUSH
EUST,36.532749,-87.36006,3/2/2021,"JB,NS",SW,12:56,8,
NOMO,36.532921,-87.359263,3/2/2021,"JB,NS",SW,13:02,1,
NOMO,36.534174,-87.358681,3/2/2021,"JB,NS",SW,13:13,1,ON TELEPHONE LINE
NOMO,36.53513,-87.358997,3/2/2021,"JB,NS",SW,13:20,2,SITTING IN BRUSH BY EACH OTHER
EUST,36.534744,-87.356855,3/2/2021,"JB,NS",SW,13:25,4,
EUST,36.534339,-87.35735,3/3/2021,SS,SW,13:43,1,SILENT;PERCHED ON POST
EUST,36.534527,-87.357649,3/3/2021,SS,SW,9:57,4,CALLING;FLYOVER
NOMO,36.534313,-87.355471,3/3/2021,SS,SE,14:41,2,GROUND FORAGING
EUST,36.535104,-87.356405,3/3/2021,SS,NE,14:48,1,"JUVENILE, SILENT IN TREE"
EUST,36.5335,-87.35048,3/3/2021,SS,SE,14:58,12,CALLING;SINGIN
EUST,36.540061,-87.358339,3/3/2021,SS,NW,15:50,1,
EUST,36.540302,-87.359882,3/3/2021,SS,NW,16:10,1,
NOMO,36.540119,-87.360414,3/3/2021,SS,NW,16:22,2,SINGING IN BRUSH PILE
NOMO,36.535365,-87.355692,3/4/2021,AZ,NE,9:35,1,
NOMO,36.535962,-87.355854,3/4/2021,AZ,NE,9:42,1,
HOSP,36.536637,-87.35574,3/4/2021,AZ,NE,9:50,1,
EUST,36.537234,-87.355207,3/4/2021,AZ,NE,9:58,4,
EUST,36.537768,-87.355466,3/4/2021,AZ,NE,10:07,2,
EUST,36.537215,-87.358128,3/4/2021,"HL,JS",NW,9:38,2,SAW A LOT OF BIRDS BUT NO TARGET SPECIES
EUST,36.534469,-87.351476,3/4/2021,JE,SE,7:48,20,
NOMO,36.533399,-87.352735,3/4/2021,JE,SE,8:05,1,
NOMO,36.533854,-87.352801,3/4/2021,JE,SE,8:19,2,
HOSP,36.534037,-87.354411,3/4/2021,JE,SE,8:28,3,
NOMO,36.534458,-87.351786,3/4/2021,JE,SE,9:23,1,
EUST,36.534986,-87.350794,3/4/2021,JE,SE,9:52,15,FLYOVER
NOMO,36.533113,-87.350781,3/4/2021,JM,SE,10:00,1,
EABL,36.533752,-87.353255,3/4/2021,JM,SE,10:45,1,FLEW OUT OF SHRUBS PICKED UP MATERIAL AND FLEW BACK
NOMO,36.53255556,-87.35694,3/5/2021,AH,SW,14:05,1,IN FRONT OF ERIKSSON HALL
EUST,36.533027,-87.358288,3/5/2021,DS,SW,10:00,1,CALL ID
NOMO,36.533492,-87.35934,3/5/2021,DS,SW,10:05,1,
NOMO,36.534392,-87.358723,3/5/2021,DS,SW,10:11,1,SHRUBLINE LOT 58
EUST,36.534726,-87.359348,3/5/2021,DS,SW,10:15,19,
NOMO,36.534726,-87.359348,3/5/2021,DS,SW,10:30,1,
HOSP,36.534759,-87.359121,3/5/2021,DS,SW,10:34,1,
HOSP,36.535142,-87.358279,3/5/2021,DS,SW,11:00,1,
NOMO,36.535313,-87.358727,3/5/2021,DS,SW,11:10,1,
HOSP,36.53352778,-87.35583,3/6/2021,AH,SE,12:20,1,ON ROOF OF MILLER HALL
NOMO,36.53352778,-87.35583,3/6/2021,AH,SE,12:23,1,IN TREE NEAR MILLER HALL
NOMO,36.53322222,-87.35056,3/6/2021,AH,SE,13:13,1,
NOMO,36.540073,-87.360667,3/8/2021,SS,NW,14:37,4,GROUND FORAGING
EABL,36.539192,-87.361827,3/8/2021,SS,NW,14:55,1,SILENT;LOW PERCH
HOSP,36.538616,-87.360293,3/8/2021,SS,NW,15:26,5,FLOCKING IN TREE NEXT TO APARTMENT
NOMO,36.5388889,-87.355,3/10/2021,AH,NE,9:01,1,
NOMO,36.53775,-87.35056,3/10/2021,AH,NE,9:05,1,POWERLINE CALLING TO ANOTHER BIRD
EUST,36.53708333,-87.35056,3/10/2021,AH,NE,9:10,1,
NOMO,36.5388889,-87.35639,3/10/2021,AH,NE,9:13,2,
HOSP,36.53663889,-87.35722,3/10/2021,AH,NE,9:21,3,
NOMO,36.53625,-87.3575,3/10/2021,AH,NE,9:30,2,
NOMO,36.53594444,-87.35722,3/10/2021,AH,NE,9:32,4,
EUST,36.5375,-87.35667,3/10/2021,AH,NE,9:35,15,GROUND FORAGING AT DUNN CENTER
EABL,36.53505556,-87.35667,3/10/2021,AH,NE,9:38,1,MY FIRST ONE!
NOMO,36.53430556,-87.35583,3/10/2021,AH,SW,9:44,1,FIGHTING ROBINS
NOMO,36.53327778,-87.35639,3/10/2021,AH,SW,9:49,1,
NOMO,36.53255556,-87.35083,3/10/2021,AH,SW,10:08,4,CALLING TO EACH OTHER
EUST,36.53258333,-87.35972,3/10/2021,AH,SW,10:10,5,
EUST,36.53330556,-87.35083,3/10/2021,AH,SW,10:11,2,IN TREE AWAY FROM OTHERS
NOMO,36.53152778,-87.35472,3/10/2021,AH,SE,10:27,1,FLYING AWAY
NOMO,36.53308333,-87.35333,3/10/2021,AH,SE,10:47,2,CALLING TO EACH OTHER
HOSP,36.53447222,-87.35361,3/10/2021,AH,SE,10:54,2,HEARD 3; CALLING TO EACH OTHER
EUST,36.538365,-87.352976,3/10/2021,AZ,NE,9:40,1,
EUST,36.53756,-87.352232,3/10/2021,AZ,NE,9:49,1,
EUST,36.536741,-87.351988,3/10/2021,AZ,NE,9:54,5,
EUST,36.535585,-87.352167,3/10/2021,AZ,NE,10:03,2,
NOMO,36.535637,-87.353089,3/10/2021,AZ,NE,10:10,1,
EUST,36.538586,-87.354561,3/10/2021,AZ,NE,10:13,1,
NOMO,36.539106,-87.360386,3/10/2021,DS,NW,10:45,1,
HOSP,36.539686,-87.359343,3/10/2021,DS,NW,11:00,1,
HOSP,36.536755,-87.35914,3/10/2021,DS,NW,11:30,5,ON DUMPSTER
HOSP,36.540498,-87.359541,3/10/2021,DS,NW,12:45,1,
EUST,36.538096,-87.355495,3/10/2021,JE,NE,8:35,4,
EABL,36.538463,-87.355602,3/10/2021,JE,NE,8:51,2,
EUST,36.538616,-87.355703,3/10/2021,JE,NE,8:51,1,
EABL,36.537822,-87.353251,3/10/2021,JE,NE,8:59,2,
NOMO,36.538279,-87.353212,3/10/2021,JE,NE,9:02,2,
NOMO,36.538185,-87.351085,3/10/2021,JE,NE,9:08,1,
EUST,36.53767,-87.35113,3/10/2021,JE,NE,9:10,150,
NOMO,36.535325,-87.356701,3/10/2021,JE,NE,9:14,2,
HOSP,36.537018,-87.355814,3/10/2021,JE,NE,9:44,3,
NOMO,36.536511,-87.355728,3/10/2021,JE,NE,9:46,2,
NOMO,36.53704,-87.355515,3/10/2021,JE,NE,9:50,1,
EUST,36.537833,-87.357645,3/10/2021,JE,NE,9:52,20,
NOMO,36.536879,-87.352972,3/10/2021,JE,NE,10:15,1,
